OBJECTID,id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,scientific,code,shape_Leng,ORIG_FID,POINT_X,POINT_Y
6072,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Great Nicobar, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,1.716957356120000,6071,93.810632905484283,7.020993191582591
6073,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Karakelang, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,1.656085747870000,6072,126.786350296229220,4.284394211623635
6074,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Madura, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,4.185746048180000,6073,113.350031686013610,-7.034890846635221
6075,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Penang, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,0.758455141669000,6074,100.253359789222940,5.378037903726352
6076,17344.000000000000000,Pipistrellus javanicus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Sulawesi, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,6.357633608260000,6075,120.722708144165610,-1.852027337891286
6077,17344.000000000000000,Pipistrellus javanicus,2,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , , , , ,Probably Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,LC,105.169810324000000,6076,123.246417133543900,11.724805211391470
6078,17345.000000000000000,Hypsugo joffrei,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Hypsugo,Hypsugo joffrei,DD,3.081772593200000,6077,95.663793299321355,24.869241058927798
6079,17346.000000000000000,Hypsugo kitcheneri,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Hypsugo,Hypsugo kitcheneri,DD,11.660628927899999,6078,115.459636420584390,-0.130769467137156
6080,17347.000000000000000,Hypsugo lophurus,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Hypsugo,Hypsugo lophurus,DD,0.053278673343300,6079,98.630522246504540,10.235792457555931
6081,17348.000000000000000,Falsistrellus mackenziei,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Falsistrellus,Falsistrellus mackenziei,NT,8.271013556500000,6080,115.990850063079960,-33.947514230197498
6082,17349.000000000000000,Hypsugo macrotis,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Hypsugo,Hypsugo macrotis,DD,26.998408243800000,6081,102.562627507853280,1.662629822008739
6083,17350.000000000000000,Pipistrellus minahassae,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Sulawesi, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus minahassae,DD,0.206917617151000,6082,124.809474474467490,1.318990884022128
6084,17351.000000000000000,Falsistrellus mordax,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Falsistrellus,Falsistrellus mordax,DD,0.735593645802000,6083,97.964924575308942,24.868230131015764
6085,17351.000000000000000,Falsistrellus mordax,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Java, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Falsistrellus,Falsistrellus mordax,DD,30.800511896300002,6084,109.938050553989910,-7.300215090553934
6086,17353.000000000000000,Pipistrellus nanulus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus nanulus,LC,121.404226698000000,6085,4.617273424129280,6.766339620477140
6087,17355.000000000000000,Pipistrellus papuanus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Seram, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,9.957270997909999,6086,129.458235944033620,-3.203122525983758
6088,17355.000000000000000,Pipistrellus papuanus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,New Britain, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,17.268915730000000,6087,150.608824908243040,-5.476275644905059
6089,17355.000000000000000,Pipistrellus papuanus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,New Ireland, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,8.778680046860000,6088,152.327209728346360,-3.808606006062291
6090,17355.000000000000000,Pipistrellus papuanus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,84.206392517099999,6089,144.306022841081360,-6.777172813174730
6091,17355.000000000000000,Pipistrellus papuanus,2,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), ,This island appears with a question mark beside it in Flannery (1995).,Kerehikapa, , ,Probably Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,0.068104217209100,6090,158.021709043337750,-7.450037175575119
6092,17355.000000000000000,Pipistrellus papuanus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Karkar, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,0.710844126826000,6091,145.974511490712760,-4.643245598205738
6093,17355.000000000000000,Pipistrellus papuanus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Biak-Supiori, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,3.653137852900000,6092,135.892088315123710,-0.937288227469651
6094,17355.000000000000000,Pipistrellus papuanus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Ambon, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,1.805289007130000,6093,128.135876205122830,-3.651831763225232
6095,17355.000000000000000,Pipistrellus papuanus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Batanta, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,2.132352142630000,6094,130.656236398890770,-0.858441829926448
6096,17355.000000000000000,Pipistrellus papuanus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Salawati, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,1.757905402580000,6095,130.884801308333750,-1.107326005490734
6097,17355.000000000000000,Pipistrellus papuanus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Fergusson, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,1.959294703100000,6096,150.665004242551840,-9.531486762903739
6098,17355.000000000000000,Pipistrellus papuanus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Kairiru, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,0.304489397341000,6097,143.555243947849930,-3.346250662038358
6099,17355.000000000000000,Pipistrellus papuanus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Dolak, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,4.690270465410000,6098,138.386703759670810,-7.915862742571449
6100,17355.000000000000000,Pipistrellus papuanus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Misool, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus papuanus,LC,2.488526895630000,6099,130.118101078402110,-1.880388415492917
6101,17356.000000000000000,Pipistrellus paterculus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus paterculus,LC,83.234839063999999,6100,98.181455039518539,22.716832301969191
6102,17358.000000000000000,Pipistrellus permixtus,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Pipistrellus,Pipistrellus permixtus,DD,0.567905669535000,6101,39.186529257419352,-6.687036433684398
6103,17359.000000000000000,Falsistrellus petersi,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Ambon, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Falsistrellus,Falsistrellus petersi,DD,1.805289007130000,6102,128.135876205122830,-3.651831763225232
6104,17359.000000000000000,Falsistrellus petersi,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Borneo, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Falsistrellus,Falsistrellus petersi,DD,2.013201795360000,6103,116.312557063457800,5.759953301903408
6105,17359.000000000000000,Falsistrellus petersi,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Buru, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Falsistrellus,Falsistrellus petersi,DD,3.897440031090000,6104,126.634588745874000,-3.423813620002534
6106,17359.000000000000000,Falsistrellus petersi,1,1,1,IUCN,2008,IUCN (International Union for Conservation of Nature), , ,Luzon, , ,Extant (resident), ,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Falsistrellus,Falsistrellus petersi,DD,2.216370045310000,6105,120.717466877294670,16.791540058427017
